#ID_REF = 
#VALUE = Quantification
ID_REF	VALUE
7893616	5.90014
7893617	5.64194
7893618	2.38516
7893619	7.94447
7893620	1.02363
7893621	1.20431
7893622	1.13268
7893623	1.13736
7893624	2.34349
7893625	1.34743
7893626	1.15805
7893627	2.95598
7893628	7.80403
7893629	1.27629
7893630	5.50256
7893631	3.74778
7893632	11.3912
7893633	6.52027
7893634	9.0102
7893635	1.44567
7893636	1.07816
7893637	2.93504
7893638	1.56339
7893639	8.65779
7893640	7.04251
7893641	10.029
7893642	10.6723
7893643	1.9516
7893644	2.32104
7893645	1.5023
7893646	6.0856
7893647	11.5072
7893648	1.98361
7893649	8.06981
7893650	11.0428
7893651	6.35816
7893652	1.98839
7893653	1.24125
7893654	1.62022
7893655	1.66265
7893656	2.49106
7893657	5.58111
7893658	1.6124
7893659	2.00103
7893660	6.81301
7893661	6.37561
7893662	10.7505
7893663	2.38497
7893664	7.22353
7893665	3.86757
7893666	1.6696
7893667	1.72305
7893668	1.75865
7893669	1.78503
7893670	7.20375
7893671	1.62708
7893672	4.57301
7893673	2.17955
7893674	1.13268
7893675	5.58699
7893676	10.28
7893677	9.6944
7893678	2.04756
7893679	1.97437
7893681	1.02363
7893682	7.06275
7893683	2.10933
7893684	7.52891
7893685	8.55686
7893686	2.41395
7893687	1.33479
7893688	1.88872
7893689	9.03127
7893690	8.33941
7893691	1.11403
7893692	6.08178
7893693	1.5536
7893694	1.36149
7893695	3.08382
7893696	5.08028
7893697	1.79099
7893698	4.30532
7893699	2.03478
7893700	6.8105
7893701	7.72598
7893702	1.86722
7893703	2.56523
7893704	3.10911
7893705	5.76771
7893706	3.11063
7893707	4.80741
7893708	6.06544
7893709	7.98646
7893710	8.09644
7893711	7.64232
7893712	1.3025
7893713	2.33665
7893714	7.00745
7893715	8.03775
7893716	3.85368
7893717	1.98251
7893718	1.2129
7893719	1.68912
7893720	4.18343
7893721	5.0761
7893722	3.34582
7893723	1.9508
7893724	3.307
7893725	9.77295
7893726	4.5504
7893727	11.6767
7893728	5.16697
7893729	7.20027
7893730	1.78416
7893731	8.4166
7893732	10.0495
7893733	9.24648
7893734	9.3626
7893735	1.48691
7893736	2.2017
7893737	2.59878
7893738	7.72167
7893739	6.78747
7893740	8.32848
7893741	1.30137
7893742	1.26914
7893743	1.71874
7893744	6.44447
7893745	4.79231
7893746	1.93797
7893747	8.02166
7893748	3.20634
7893749	1.28935
7893750	3.04034
7893751	3.52419
7893752	7.45336
7893753	1.22129
7893754	2.72823
7893755	1.38915
7893756	1.70596
7893757	3.86704
7893758	1.49054
7893759	10.9621
7893760	1.64784
7893761	3.63927
7893762	11.5851
7893763	10.7612
7893764	4.13749
7893765	4.51207
7893766	6.24159
7893767	4.40828
7893768	3.27601
7893769	6.43241
7893770	1.13268
7893771	2.05067
7893772	2.13631
7893773	9.91101
7893774	8.14771
7893775	1.69793
7893776	1.68912
7893777	6.83181
7893778	8.48817
7893779	7.30718
7893780	1.48221
7893781	5.32087
7893782	6.93468
7893783	8.2467
7893784	2.774
7893785	9.69475
7893786	3.75769
7893787	1.76286
7893788	8.32613
7893789	5.98642
7893790	5.61458
7893791	2.26769
7893792	8.10319
7893793	5.13785
7893794	3.24541
